REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,SEA1D,DEMINDDSL,1,2020,109.55556
REGION1,SEA1N,DEMINDDSL,1,2020,109.55556
REGION1,SEA2D,DEMINDDSL,1,2020,109.55556
REGION1,SEA2N,DEMINDDSL,1,2020,109.55556
REGION1,SEA3D,DEMINDDSL,1,2020,109.55556
REGION1,SEA3N,DEMINDDSL,1,2020,109.55556
REGION1,SEA4D,DEMINDDSL,1,2020,109.55556
REGION1,SEA4N,DEMINDDSL,1,2020,109.55556
REGION1,SEA1D,DEMINDDSL,1,2021,109.22222
REGION1,SEA1N,DEMINDDSL,1,2021,109.22222
REGION1,SEA2D,DEMINDDSL,1,2021,109.22222
REGION1,SEA2N,DEMINDDSL,1,2021,109.22222
REGION1,SEA3D,DEMINDDSL,1,2021,109.22222
REGION1,SEA3N,DEMINDDSL,1,2021,109.22222
REGION1,SEA4D,DEMINDDSL,1,2021,109.22222
REGION1,SEA4N,DEMINDDSL,1,2021,109.22222
REGION1,SEA1D,DEMINDDSL,1,2022,108.46465
REGION1,SEA1N,DEMINDDSL,1,2022,108.46465
REGION1,SEA2D,DEMINDDSL,1,2022,108.46465
REGION1,SEA2N,DEMINDDSL,1,2022,108.46465
REGION1,SEA3D,DEMINDDSL,1,2022,108.46465
REGION1,SEA3N,DEMINDDSL,1,2022,108.46465
REGION1,SEA4D,DEMINDDSL,1,2022,108.46465
REGION1,SEA4N,DEMINDDSL,1,2022,108.46465
REGION1,SEA1D,DEMINDDSL,1,2023,108.0303
REGION1,SEA1N,DEMINDDSL,1,2023,108.0303
REGION1,SEA2D,DEMINDDSL,1,2023,108.0303
REGION1,SEA2N,DEMINDDSL,1,2023,108.0303
REGION1,SEA3D,DEMINDDSL,1,2023,108.0303
REGION1,SEA3N,DEMINDDSL,1,2023,108.0303
REGION1,SEA4D,DEMINDDSL,1,2023,108.0303
REGION1,SEA4N,DEMINDDSL,1,2023,108.0303
REGION1,SEA1D,DEMINDDSL,1,2024,108.41414
REGION1,SEA1N,DEMINDDSL,1,2024,108.41414
REGION1,SEA2D,DEMINDDSL,1,2024,108.41414
REGION1,SEA2N,DEMINDDSL,1,2024,108.41414
REGION1,SEA3D,DEMINDDSL,1,2024,108.41414
REGION1,SEA3N,DEMINDDSL,1,2024,108.41414
REGION1,SEA4D,DEMINDDSL,1,2024,108.41414
REGION1,SEA4N,DEMINDDSL,1,2024,108.41414
REGION1,SEA1D,DEMINDDSL,1,2025,109.24242
REGION1,SEA1N,DEMINDDSL,1,2025,109.24242
REGION1,SEA2D,DEMINDDSL,1,2025,109.24242
REGION1,SEA2N,DEMINDDSL,1,2025,109.24242
REGION1,SEA3D,DEMINDDSL,1,2025,109.24242
REGION1,SEA3N,DEMINDDSL,1,2025,109.24242
REGION1,SEA4D,DEMINDDSL,1,2025,109.24242
REGION1,SEA4N,DEMINDDSL,1,2025,109.24242
REGION1,SEA1D,DEMINDDSL,1,2026,110.55556
REGION1,SEA1N,DEMINDDSL,1,2026,110.55556
REGION1,SEA2D,DEMINDDSL,1,2026,110.55556
REGION1,SEA2N,DEMINDDSL,1,2026,110.55556
REGION1,SEA3D,DEMINDDSL,1,2026,110.55556
REGION1,SEA3N,DEMINDDSL,1,2026,110.55556
REGION1,SEA4D,DEMINDDSL,1,2026,110.55556
REGION1,SEA4N,DEMINDDSL,1,2026,110.55556
REGION1,SEA1D,DEMINDDSL,1,2027,111.74747
REGION1,SEA1N,DEMINDDSL,1,2027,111.74747
REGION1,SEA2D,DEMINDDSL,1,2027,111.74747
REGION1,SEA2N,DEMINDDSL,1,2027,111.74747
REGION1,SEA3D,DEMINDDSL,1,2027,111.74747
REGION1,SEA3N,DEMINDDSL,1,2027,111.74747
REGION1,SEA4D,DEMINDDSL,1,2027,111.74747
REGION1,SEA4N,DEMINDDSL,1,2027,111.74747
REGION1,SEA1D,DEMINDDSL,1,2028,112.39394
REGION1,SEA1N,DEMINDDSL,1,2028,112.39394
REGION1,SEA2D,DEMINDDSL,1,2028,112.39394
REGION1,SEA2N,DEMINDDSL,1,2028,112.39394
REGION1,SEA3D,DEMINDDSL,1,2028,112.39394
REGION1,SEA3N,DEMINDDSL,1,2028,112.39394
REGION1,SEA4D,DEMINDDSL,1,2028,112.39394
REGION1,SEA4N,DEMINDDSL,1,2028,112.39394
REGION1,SEA1D,DEMINDDSL,1,2029,112.41414
REGION1,SEA1N,DEMINDDSL,1,2029,112.41414
REGION1,SEA2D,DEMINDDSL,1,2029,112.41414
REGION1,SEA2N,DEMINDDSL,1,2029,112.41414
REGION1,SEA3D,DEMINDDSL,1,2029,112.41414
REGION1,SEA3N,DEMINDDSL,1,2029,112.41414
REGION1,SEA4D,DEMINDDSL,1,2029,112.41414
REGION1,SEA4N,DEMINDDSL,1,2029,112.41414
REGION1,SEA1D,DEMINDDSL,1,2030,112.50505
REGION1,SEA1N,DEMINDDSL,1,2030,112.50505
REGION1,SEA2D,DEMINDDSL,1,2030,112.50505
REGION1,SEA2N,DEMINDDSL,1,2030,112.50505
REGION1,SEA3D,DEMINDDSL,1,2030,112.50505
REGION1,SEA3N,DEMINDDSL,1,2030,112.50505
REGION1,SEA4D,DEMINDDSL,1,2030,112.50505
REGION1,SEA4N,DEMINDDSL,1,2030,112.50505
REGION1,SEA1D,DEMINDDSL,1,2031,112.77778
REGION1,SEA1N,DEMINDDSL,1,2031,112.77778
REGION1,SEA2D,DEMINDDSL,1,2031,112.77778
REGION1,SEA2N,DEMINDDSL,1,2031,112.77778
REGION1,SEA3D,DEMINDDSL,1,2031,112.77778
REGION1,SEA3N,DEMINDDSL,1,2031,112.77778
REGION1,SEA4D,DEMINDDSL,1,2031,112.77778
REGION1,SEA4N,DEMINDDSL,1,2031,112.77778
REGION1,SEA1D,DEMINDDSL,1,2032,113.25253
REGION1,SEA1N,DEMINDDSL,1,2032,113.25253
REGION1,SEA2D,DEMINDDSL,1,2032,113.25253
REGION1,SEA2N,DEMINDDSL,1,2032,113.25253
REGION1,SEA3D,DEMINDDSL,1,2032,113.25253
REGION1,SEA3N,DEMINDDSL,1,2032,113.25253
REGION1,SEA4D,DEMINDDSL,1,2032,113.25253
REGION1,SEA4N,DEMINDDSL,1,2032,113.25253
REGION1,SEA1D,DEMINDDSL,1,2033,113.38384
REGION1,SEA1N,DEMINDDSL,1,2033,113.38384
REGION1,SEA2D,DEMINDDSL,1,2033,113.38384
REGION1,SEA2N,DEMINDDSL,1,2033,113.38384
REGION1,SEA3D,DEMINDDSL,1,2033,113.38384
REGION1,SEA3N,DEMINDDSL,1,2033,113.38384
REGION1,SEA4D,DEMINDDSL,1,2033,113.38384
REGION1,SEA4N,DEMINDDSL,1,2033,113.38384
REGION1,SEA1D,DEMINDDSL,1,2034,113.44444
