REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,25,LNDAGRBC1C01,52,2023,0.3650002517237602
REGION1,27,LNDAGRBC1C01,52,2036,1.1654835624001407
REGION1,30,LNDAGRBC1C02,52,2023,0.407793384685192
REGION1,26,LNDAGRBC1C02,52,2036,1.10568289598233
REGION1,1,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,2,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,3,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,4,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,5,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,6,LNDAGRBC1C05,52,2021,547.3862508823007
REGION1,7,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,8,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,9,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,10,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,11,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,12,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,13,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,14,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,15,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,16,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,17,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,18,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,19,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,20,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,21,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,22,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,23,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,24,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,25,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,26,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,27,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,28,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,29,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,30,LNDAGRBC1C05,52,2021,547.3862508823008
REGION1,1,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,2,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,3,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,4,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,5,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,6,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,7,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,8,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,9,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,10,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,11,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,12,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,13,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,14,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,15,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,16,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,17,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,18,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,19,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,20,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,21,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,22,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,23,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,24,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,25,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,26,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,27,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,28,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,29,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,30,LNDAGRBC1C05,52,2022,547.4807802828161
REGION1,1,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,2,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,3,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,4,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,5,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,6,LNDAGRBC1C05,52,2023,547.7194194992555
REGION1,7,LNDAGRBC1C05,52,2023,547.7194194992555
