r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRDSL,DSL,2020,14.88
REGION1,DEMAGRDSL,DSL,2021,15.618
REGION1,DEMAGRDSL,DSL,2022,16.267
REGION1,DEMAGRDSL,DSL,2023,16.652
REGION1,DEMAGRDSL,DSL,2024,17.594
REGION1,DEMAGRDSL,DSL,2025,18.141
REGION1,DEMAGRDSL,DSL,2026,17.415
REGION1,DEMAGRDSL,DSL,2027,16.689
REGION1,DEMAGRDSL,DSL,2028,15.964
REGION1,DEMAGRDSL,DSL,2029,15.238
REGION1,DEMAGRDSL,DSL,2030,14.513
REGION1,DEMAGRDSL,DSL,2031,13.787
REGION1,DEMAGRDSL,DSL,2032,13.061
REGION1,DEMAGRDSL,DSL,2033,12.336
REGION1,DEMAGRDSL,DSL,2034,11.61
REGION1,DEMAGRDSL,DSL,2035,10.885
REGION1,DEMAGRDSL,DSL,2036,10.159
REGION1,DEMAGRDSL,DSL,2037,9.434
REGION1,DEMAGRDSL,DSL,2038,8.708
REGION1,DEMAGRDSL,DSL,2039,7.982
REGION1,DEMAGRDSL,DSL,2040,7.257
REGION1,DEMAGRDSL,DSL,2041,6.531
REGION1,DEMAGRDSL,DSL,2042,5.806
REGION1,DEMAGRDSL,DSL,2043,5.08
REGION1,DEMAGRDSL,DSL,2044,4.354
REGION1,DEMAGRDSL,DSL,2045,3.629
REGION1,DEMAGRDSL,DSL,2046,2.903
REGION1,DEMAGRDSL,DSL,2047,2.178
REGION1,DEMAGRDSL,DSL,2048,1.452
REGION1,DEMAGRDSL,DSL,2049,0.727
REGION1,DEMAGRELCB02,ELCB02,2026,1.38
REGION1,DEMAGRELCB02,ELCB02,2027,2.76
REGION1,DEMAGRELCB02,ELCB02,2028,4.13
REGION1,DEMAGRELCB02,ELCB02,2029,5.51
REGION1,DEMAGRELCB02,ELCB02,2030,6.89
REGION1,DEMAGRELCB02,ELCB02,2031,8.27
REGION1,DEMAGRELCB02,ELCB02,2032,9.65
REGION1,DEMAGRELCB02,ELCB02,2033,11.02
REGION1,DEMAGRELCB02,ELCB02,2034,12.4
REGION1,DEMAGRELCB02,ELCB02,2035,13.78
REGION1,DEMAGRELCB02,ELCB02,2036,15.16
REGION1,DEMAGRELCB02,ELCB02,2037,16.53
REGION1,DEMAGRELCB02,ELCB02,2038,17.91
REGION1,DEMAGRELCB02,ELCB02,2039,19.29
REGION1,DEMAGRELCB02,ELCB02,2040,20.67
REGION1,DEMAGRELCB02,ELCB02,2041,22.05
REGION1,DEMAGRELCB02,ELCB02,2042,23.42
REGION1,DEMAGRELCB02,ELCB02,2043,24.8
REGION1,DEMAGRELCB02,ELCB02,2044,26.18
REGION1,DEMAGRELCB02,ELCB02,2045,27.56
REGION1,DEMAGRELCB02,ELCB02,2046,28.94
REGION1,DEMAGRELCB02,ELCB02,2047,30.31
REGION1,DEMAGRELCB02,ELCB02,2048,31.69
REGION1,DEMAGRELCB02,ELCB02,2049,33.07
REGION1,DEMAGRELCB02,ELCB02,2050,34.447
REGION1,DEMAGRSURBC1,WTRSURBC1,2020,0.3564
REGION1,DEMAGRSURBC1,WTRSURBC1,2021,0.4246
REGION1,DEMAGRSURBC1,WTRSURBC1,2022,0.4229
REGION1,DEMAGRSURBC1,WTRSURBC1,2023,0.4219
REGION1,DEMAGRSURBC1,WTRSURBC1,2024,0.4237
REGION1,DEMAGRSURBC1,WTRSURBC1,2025,0.4491
REGION1,DEMAGRSURBC1,WTRSURBC1,2026,0.4825
REGION1,DEMAGRSURBC1,WTRSURBC1,2027,0.5666
REGION1,DEMAGRSURBC1,WTRSURBC1,2028,0.604
REGION1,DEMAGRSURBC1,WTRSURBC1,2029,0.6357
REGION1,DEMAGRSURBC1,WTRSURBC1,2030,0.6719
REGION1,DEMAGRSURBC1,WTRSURBC1,2031,0.7074
REGION1,DEMAGRSURBC1,WTRSURBC1,2032,0.7341
REGION1,DEMAGRSURBC1,WTRSURBC1,2033,0.768
REGION1,DEMAGRSURBC1,WTRSURBC1,2034,0.801
REGION1,DEMAGRSURBC1,WTRSURBC1,2035,1.7057
REGION1,DEMAGRSURBC1,WTRSURBC1,2036,1.7947
REGION1,DEMAGRSURBC1,WTRSURBC1,2037,1.832
REGION1,DEMAGRSURBC1,WTRSURBC1,2038,1.8684
REGION1,DEMAGRSURBC1,WTRSURBC1,2039,1.9042
REGION1,DEMAGRSURBC1,WTRSURBC1,2040,1.9115
REGION1,DEMAGRSURBC1,WTRSURBC1,2041,1.9206
REGION1,DEMAGRSURBC1,WTRSURBC1,2042,1.9286
REGION1,DEMAGRSURBC1,WTRSURBC1,2043,1.9378
REGION1,DEMAGRSURBC1,WTRSURBC1,2044,1.9459
REGION1,DEMAGRSURBC1,WTRSURBC1,2045,1.9546
REGION1,DEMAGRSURBC1,WTRSURBC1,2046,1.9626
REGION1,DEMAGRSURBC1,WTRSURBC1,2047,1.9707
REGION1,DEMAGRSURBC1,WTRSURBC1,2048,1.9794
REGION1,DEMAGRSURBC1,WTRSURBC1,2049,1.9883
REGION1,DEMAGRSURBC1,WTRSURBC1,2050,1.9964
REGION1,DEMCOMBIO,BIO,2020,0.12
REGION1,DEMCOMBIO,BIO,2021,0.17
REGION1,DEMCOMBIO,BIO,2022,0.22
REGION1,DEMCOMBIO,BIO,2023,0.26
REGION1,DEMCOMBIO,BIO,2024,0.31
REGION1,DEMCOMBIO,BIO,2025,0.35
REGION1,DEMCOMBIO,BIO,2026,0.34
REGION1,DEMCOMBIO,BIO,2027,0.32
REGION1,DEMCOMBIO,BIO,2028,0.31
REGION1,DEMCOMBIO,BIO,2029,0.29
REGION1,DEMCOMBIO,BIO,2030,0.28
REGION1,DEMCOMBIO,BIO,2031,0.27
REGION1,DEMCOMBIO,BIO,2032,0.25
REGION1,DEMCOMBIO,BIO,2033,0.24
REGION1,DEMCOMBIO,BIO,2034,0.22
REGION1,DEMCOMBIO,BIO,2035,0.21
REGION1,DEMCOMBIO,BIO,2036,0.2
REGION1,DEMCOMBIO,BIO,2037,0.18
REGION1,DEMCOMBIO,BIO,2038,0.17
REGION1,DEMCOMBIO,BIO,2039,0.15
REGION1,DEMCOMBIO,BIO,2040,0.14
REGION1,DEMCOMBIO,BIO,2041,0.13
REGION1,DEMCOMBIO,BIO,2042,0.11
REGION1,DEMCOMBIO,BIO,2043,0.1
REGION1,DEMCOMBIO,BIO,2044,0.08
REGION1,DEMCOMBIO,BIO,2045,0.07
REGION1,DEMCOMBIO,BIO,2046,0.06
REGION1,DEMCOMBIO,BIO,2047,0.04
REGION1,DEMCOMBIO,BIO,2048,0.03
REGION1,DEMCOMBIO,BIO,2049,0.01
REGION1,DEMCOMELCB02,ELCB02,2020,57.0
REGION1,DEMCOMELCB02,ELCB02,2021,58.29
REGION1,DEMCOMELCB02,ELCB02,2022,59.36
REGION1,DEMCOMELCB02,ELCB02,2023,60.24
REGION1,DEMCOMELCB02,ELCB02,2024,60.96
REGION1,DEMCOMELCB02,ELCB02,2025,61.69
REGION1,DEMCOMELCB02,ELCB02,2026,63.56
REGION1,DEMCOMELCB02,ELCB02,2027,65.43
REGION1,DEMCOMELCB02,ELCB02,2028,67.31
REGION1,DEMCOMELCB02,ELCB02,2029,69.18
REGION1,DEMCOMELCB02,ELCB02,2030,71.05
REGION1,DEMCOMELCB02,ELCB02,2031,72.92
REGION1,DEMCOMELCB02,ELCB02,2032,74.79
REGION1,DEMCOMELCB02,ELCB02,2033,76.66
REGION1,DEMCOMELCB02,ELCB02,2034,78.54
REGION1,DEMCOMELCB02,ELCB02,2035,80.41
REGION1,DEMCOMELCB02,ELCB02,2036,82.28
REGION1,DEMCOMELCB02,ELCB02,2037,84.15
REGION1,DEMCOMELCB02,ELCB02,2038,86.02
REGION1,DEMCOMELCB02,ELCB02,2039,87.89
REGION1,DEMCOMELCB02,ELCB02,2040,89.77
REGION1,DEMCOMELCB02,ELCB02,2041,91.64
REGION1,DEMCOMELCB02,ELCB02,2042,93.51
REGION1,DEMCOMELCB02,ELCB02,2043,95.38
REGION1,DEMCOMELCB02,ELCB02,2044,97.25
REGION1,DEMCOMELCB02,ELCB02,2045,99.12
REGION1,DEMCOMELCB02,ELCB02,2046,101.0
REGION1,DEMCOMELCB02,ELCB02,2047,102.87
REGION1,DEMCOMELCB02,ELCB02,2048,104.74
REGION1,DEMCOMELCB02,ELCB02,2049,106.61
REGION1,DEMCOMELCB02,ELCB02,2050,108.48
REGION1,DEMCOMKER,KER,2020,10.57
REGION1,DEMCOMKER,KER,2021,10.8
REGION1,DEMCOMKER,KER,2022,11.0
REGION1,DEMCOMKER,KER,2023,11.17
REGION1,DEMCOMKER,KER,2024,11.33
REGION1,DEMCOMKER,KER,2025,11.48
REGION1,DEMCOMKER,KER,2026,11.02
REGION1,DEMCOMKER,KER,2027,10.56
REGION1,DEMCOMKER,KER,2028,10.1
REGION1,DEMCOMKER,KER,2029,9.64
REGION1,DEMCOMKER,KER,2030,9.18
REGION1,DEMCOMKER,KER,2031,8.73
REGION1,DEMCOMKER,KER,2032,8.27
REGION1,DEMCOMKER,KER,2033,7.81
REGION1,DEMCOMKER,KER,2034,7.35
REGION1,DEMCOMKER,KER,2035,6.89
REGION1,DEMCOMKER,KER,2036,6.43
REGION1,DEMCOMKER,KER,2037,5.97
REGION1,DEMCOMKER,KER,2038,5.51
REGION1,DEMCOMKER,KER,2039,5.05
REGION1,DEMCOMKER,KER,2040,4.59
REGION1,DEMCOMKER,KER,2041,4.13
REGION1,DEMCOMKER,KER,2042,3.67
REGION1,DEMCOMKER,KER,2043,3.22
REGION1,DEMCOMKER,KER,2044,2.76
REGION1,DEMCOMKER,KER,2045,2.3
REGION1,DEMCOMKER,KER,2046,1.84
REGION1,DEMCOMKER,KER,2047,1.38
REGION1,DEMCOMKER,KER,2048,0.92
REGION1,DEMCOMKER,KER,2049,0.46
REGION1,DEMCOMNGS,NGS,2020,84.05
REGION1,DEMCOMNGS,NGS,2021,84.1
REGION1,DEMCOMNGS,NGS,2022,84.04
REGION1,DEMCOMNGS,NGS,2023,84.11
REGION1,DEMCOMNGS,NGS,2024,84.63
REGION1,DEMCOMNGS,NGS,2025,85.66
REGION1,DEMCOMNGS,NGS,2026,82.23
REGION1,DEMCOMNGS,NGS,2027,78.81
REGION1,DEMCOMNGS,NGS,2028,75.38
REGION1,DEMCOMNGS,NGS,2029,71.95
REGION1,DEMCOMNGS,NGS,2030,68.53
REGION1,DEMCOMNGS,NGS,2031,65.1
REGION1,DEMCOMNGS,NGS,2032,61.68
REGION1,DEMCOMNGS,NGS,2033,58.25
REGION1,DEMCOMNGS,NGS,2034,54.82
REGION1,DEMCOMNGS,NGS,2035,51.4
REGION1,DEMCOMNGS,NGS,2036,47.97
REGION1,DEMCOMNGS,NGS,2037,44.54
REGION1,DEMCOMNGS,NGS,2038,41.12
REGION1,DEMCOMNGS,NGS,2039,37.69
REGION1,DEMCOMNGS,NGS,2040,34.26
REGION1,DEMCOMNGS,NGS,2041,30.84
REGION1,DEMCOMNGS,NGS,2042,27.41
REGION1,DEMCOMNGS,NGS,2043,23.98
REGION1,DEMCOMNGS,NGS,2044,20.56
REGION1,DEMCOMNGS,NGS,2045,17.13
REGION1,DEMCOMNGS,NGS,2046,13.71
REGION1,DEMCOMNGS,NGS,2047,10.28
REGION1,DEMCOMNGS,NGS,2048,6.85
REGION1,DEMCOMNGS,NGS,2049,3.43
REGION1,DEMINDBIO,BIO,2020,160.04
REGION1,DEMINDBIO,BIO,2021,160.69
REGION1,DEMINDBIO,BIO,2022,161.12
REGION1,DEMINDBIO,BIO,2023,161.83
REGION1,DEMINDBIO,BIO,2024,162.64
REGION1,DEMINDBIO,BIO,2025,162.14
REGION1,DEMINDBIO,BIO,2026,161.92
REGION1,DEMINDBIO,BIO,2027,161.8201
REGION1,DEMINDBIO,BIO,2028,161.68
REGION1,DEMINDBIO,BIO,2029,161.08
REGION1,DEMINDBIO,BIO,2030,160.31
REGION1,DEMINDBIO,BIO,2031,152.29
