REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,CCS01,1,CO2CCS,2021,56.38888872222229
REGION1,1,CCS01,1,CO2CCS,2022,58.06519838696026
REGION1,1,CCS01,1,CO2CCS,2023,59.05475518904903
REGION1,1,CCS01,1,CO2CCS,2024,59.05475518904903
REGION1,1,CCS01,1,CO2CCS,2025,59.77125204574968
REGION1,1,CCS01,1,CO2CCS,2026,60.949768810046216
REGION1,1,CCS01,1,CO2CCS,2027,42.899996105399126
REGION1,1,CCS01,1,CO2CCS,2028,60.949768810046216
REGION1,1,CCS01,1,CO2CCS,2029,61.25861601508428
REGION1,1,CCS01,1,CO2CCS,2030,62.91014257609627
REGION1,1,CCS01,1,CO2CCS,2031,62.95842893726398
REGION1,1,CCS01,1,CO2CCS,2032,62.95842893726398
REGION1,1,CCS01,1,CO2CCS,2033,63.24481946194472
REGION1,1,CCS01,1,CO2CCS,2034,63.66593080258605
REGION1,1,CCS01,1,CO2CCS,2035,63.89446278635038
REGION1,1,CCS01,1,CO2CCS,2036,64.01742677142803
REGION1,1,CCS01,1,CO2CCS,2037,64.03083715971822
REGION1,1,CCS01,1,CO2CCS,2038,64.03910439606544
REGION1,1,CCS01,1,CO2CCS,2039,64.13071524045307
REGION1,1,CCS01,1,CO2CCS,2040,64.34206920667808
REGION1,1,CCS01,1,CO2CCS,2041,64.62762638295057
REGION1,1,CCS01,1,CO2CCS,2042,64.77944525049097
REGION1,1,CCS01,1,CO2CCS,2043,64.94655803031856
REGION1,1,CCS01,1,CO2CCS,2044,65.20144928580302
REGION1,1,CCS01,1,CO2CCS,2045,65.54361639178776
REGION1,1,CCS01,1,CO2CCS,2046,66.02918574318623
REGION1,1,CCS01,1,CO2CCS,2047,66.48519123652642
REGION1,1,CCS01,1,CO2CCS,2048,66.98656467488803
REGION1,1,CCS01,1,CO2CCS,2049,67.53898237516759
REGION1,1,CCS01,1,CO2CCS,2050,68.10573271237712
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2022,0.37646004999741695
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2023,0.42295905431979647
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2024,0.4236050814534813
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2026,0.43397870723646587
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2027,0.4395432432079404
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2029,0.46897097525341136
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2030,0.4783928973117816
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2032,0.48670623807905267
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2033,0.4933863296823008
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2034,0.49932361764458993
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2035,0.5063252249963792
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2036,0.5237996119304671
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2037,0.5297080575131627
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2039,0.5372938567002096
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2040,0.5400686079436468
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2041,0.5471751068026552
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2042,0.5531391213002148
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2043,0.5612145194868151
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2044,0.5672156045316502
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2045,0.5738515487193603
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2046,0.580659390280359
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2047,0.5867741116660672
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2048,0.593410055854009
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2049,0.600265677570027
