REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRBIOB01,2021,2.76584
REGION1,PWRBIOB01,2022,2.76584
REGION1,PWRBIOB01,2023,2.76584
REGION1,PWRBIOB01,2024,2.76584
REGION1,PWRBIOB01,2025,2.64012
REGION1,PWRBIOB01,2026,2.64012
REGION1,PWRBIOB01,2027,2.64012
REGION1,PWRBIOB01,2028,2.64012
REGION1,PWRBIOB01,2029,2.5144
REGION1,PWRBIOB02,2021,127.35436
REGION1,PWRBIOB02,2022,127.35436
REGION1,PWRBIOB02,2023,127.35436
REGION1,PWRBIOB02,2024,118.8054
REGION1,PWRBIOB02,2025,118.8054
REGION1,PWRBIOB02,2026,118.8054
REGION1,PWRBIOB02,2027,118.8054
REGION1,PWRBIOB02,2028,118.8054
REGION1,PWRBIOB02,2029,118.8054
REGION1,PWRBIOB02,2030,118.55396
REGION1,PWRBIOB02,2031,118.55396
REGION1,PWRBIOB02,2032,118.55396
REGION1,PWRBIOB02,2033,118.55396
REGION1,PWRBIOB02,2034,115.78812
REGION1,PWRBIOB02,2035,115.78812
REGION1,PWRBIOB02,2036,115.53668
REGION1,PWRBIOB02,2037,115.53668
REGION1,PWRBIOB02,2038,115.53668
REGION1,PWRBIOB02,2039,113.90232
REGION1,PWRBIOB02,2040,102.71324
REGION1,PWRBIOB02,2041,91.02128
REGION1,PWRBIOB02,2042,75.93488
REGION1,PWRBIOB02,2043,50.9166
REGION1,PWRBIOB02,2044,43.87628
REGION1,PWRBIOB02,2045,28.78988
REGION1,PWRBIOB02,2046,7.16604
REGION1,PWRBIOB02,2047,7.16604
REGION1,PWRBIOB02,2048,7.16604
REGION1,PWRBIOB02,2049,7.16604
REGION1,PWRBIOB02,2050,7.16604
REGION1,PWRHYDB01,2021,370.98064
REGION1,PWRHYDB01,2022,370.98064
REGION1,PWRHYDB01,2023,370.98064
REGION1,PWRHYDB01,2024,370.98064
REGION1,PWRHYDB01,2025,370.98064
REGION1,PWRHYDB01,2026,370.98064
REGION1,PWRHYDB01,2027,370.98064
REGION1,PWRHYDB01,2028,370.98064
REGION1,PWRHYDB01,2029,370.98064
REGION1,PWRHYDB01,2030,370.98064
REGION1,PWRHYDB01,2031,370.98064
REGION1,PWRHYDB01,2032,370.98064
REGION1,PWRHYDB01,2033,370.98064
REGION1,PWRHYDB01,2034,370.98064
REGION1,PWRHYDB01,2035,370.98064
REGION1,PWRHYDB01,2036,370.98064
REGION1,PWRHYDB01,2037,370.98064
REGION1,PWRHYDB01,2038,370.98064
REGION1,PWRHYDB01,2039,370.98064
REGION1,PWRHYDB01,2040,370.98064
REGION1,PWRHYDB01,2041,370.98064
REGION1,PWRHYDB01,2042,379.5771339361373
REGION1,PWRHYDB01,2043,392.0863082253136
REGION1,PWRHYDB01,2044,399.8804192952604
REGION1,PWRHYDB01,2045,408.958518232396
REGION1,PWRHYDB01,2046,417.0154572046937
REGION1,PWRHYDB01,2047,422.4380905541154
REGION1,PWRHYDB01,2048,427.974220880618
REGION1,PWRHYDB01,2049,433.6616805098952
REGION1,PWRHYDB01,2050,441.52674192620447
REGION1,PWRHYDB02,2021,158.34758
REGION1,PWRHYDB02,2022,158.34758
REGION1,PWRHYDB02,2023,158.34758
REGION1,PWRHYDB02,2024,158.34758
REGION1,PWRHYDB02,2025,158.34758
REGION1,PWRHYDB02,2026,158.34758
REGION1,PWRHYDB02,2027,158.34758
REGION1,PWRHYDB02,2028,158.34758
REGION1,PWRHYDB02,2029,158.34758
REGION1,PWRHYDB02,2030,158.34758
REGION1,PWRHYDB02,2031,158.34758
REGION1,PWRHYDB02,2032,158.34758
REGION1,PWRHYDB02,2033,158.34758
REGION1,PWRHYDB02,2034,158.34758
REGION1,PWRHYDB02,2035,158.34758
REGION1,PWRHYDB02,2036,158.34758
REGION1,PWRHYDB02,2037,158.34758
REGION1,PWRHYDB02,2038,158.34758
REGION1,PWRHYDB02,2039,158.34758
REGION1,PWRHYDB02,2040,158.34758
REGION1,PWRHYDB02,2041,158.34758
REGION1,PWRHYDB02,2042,158.34758
REGION1,PWRHYDB02,2043,158.34758
REGION1,PWRHYDB02,2044,158.34758
REGION1,PWRHYDB02,2045,158.34758
REGION1,PWRHYDB02,2046,158.34758
REGION1,PWRHYDB02,2047,158.34758
REGION1,PWRHYDB02,2048,158.34758
REGION1,PWRHYDB02,2049,158.34758
REGION1,PWRHYDB02,2050,158.34758
REGION1,PWRNGSB01,2021,7.215
REGION1,PWRNGSB01,2022,7.215
REGION1,PWRNGSB01,2023,7.215
REGION1,PWRNGSB01,2024,1.56
REGION1,PWRNGSB01,2025,1.56
REGION1,PWRNGSB01,2026,1.56
REGION1,PWRNGSB01,2027,1.56
REGION1,PWRNGSB01,2028,1.56
REGION1,PWRNGSB01,2029,5.695787379771256
REGION1,PWRNGSB01,2030,17.858305546558608
REGION1,PWRNGSB01,2031,29.65901750412277
REGION1,PWRNGSB01,2032,45.09254092955543
REGION1,PWRNGSB01,2033,60.17471095491497
REGION1,PWRNGSB01,2034,68.91907475664465
REGION1,PWRNGSB01,2035,76.93513751386766
REGION1,PWRNGSB01,2036,84.70391231547555
REGION1,PWRNGSB01,2037,91.97822900587767
REGION1,PWRNGSB01,2038,98.8361268517486
REGION1,PWRNGSB01,2039,105.77835454202896
REGION1,PWRNGSB01,2040,113.85122883223605
REGION1,PWRNGSB01,2041,121.25257213284031
REGION1,PWRNGSB01,2042,123.79037853997924
REGION1,PWRNGSB01,2043,125.14449750106463
REGION1,PWRNGSB01,2044,126.6462591105898
REGION1,PWRNGSB01,2045,128.64852694777107
REGION1,PWRNGSB01,2046,132.43567379243748
REGION1,PWRNGSB01,2047,134.48513449500487
REGION1,PWRNGSB01,2048,136.5774908866955
REGION1,PWRNGSB01,2049,138.7270415305509
REGION1,PWRNGSB01,2050,139.58453088721024
REGION1,PWRSOLB01,2021,0.01525
REGION1,PWRSOLB01,2022,0.01525
REGION1,PWRSOLB01,2023,0.01525
REGION1,PWRSOLB01,2024,0.01525
REGION1,PWRSOLB01,2025,0.01525
REGION1,PWRSOLB01,2026,0.01525
REGION1,PWRSOLB01,2027,0.01525
REGION1,PWRSOLB01,2028,0.01525
REGION1,PWRSOLB01,2029,0.01525
REGION1,PWRSOLB01,2030,0.01525
REGION1,PWRWNDB01,2021,2.71302
REGION1,PWRWNDB01,2022,2.71302
REGION1,PWRWNDB01,2023,2.71302
REGION1,PWRWNDB01,2024,2.71302
REGION1,PWRWNDB01,2025,2.71302
REGION1,PWRWNDB01,2026,2.71302
REGION1,PWRWNDB01,2027,2.71302
REGION1,PWRWNDB01,2028,2.71302
REGION1,PWRWNDB01,2029,2.71302
REGION1,PWRWNDB02,2021,3.47886
REGION1,PWRWNDB02,2022,3.47886
REGION1,PWRWNDB02,2023,3.47886
REGION1,PWRWNDB02,2024,3.47886
