r,t,f,y,ProductionByTechnologyAnnual
REGION1,DEMAGRDSL,AGRDSL,2020,14.88
REGION1,DEMAGRDSL,AGRDSL,2021,15.618
REGION1,DEMAGRDSL,AGRDSL,2022,16.267
REGION1,DEMAGRDSL,AGRDSL,2023,16.652
REGION1,DEMAGRDSL,AGRDSL,2024,17.594
REGION1,DEMAGRDSL,AGRDSL,2025,18.141
REGION1,DEMAGRDSL,AGRDSL,2026,18.766
REGION1,DEMAGRDSL,AGRDSL,2027,19.43
REGION1,DEMAGRDSL,AGRDSL,2028,20.135
REGION1,DEMAGRDSL,AGRDSL,2029,20.724
REGION1,DEMAGRDSL,AGRDSL,2030,21.4
REGION1,DEMAGRDSL,AGRDSL,2031,22.06
REGION1,DEMAGRDSL,AGRDSL,2032,22.707
REGION1,DEMAGRDSL,AGRDSL,2033,23.349
REGION1,DEMAGRDSL,AGRDSL,2034,24.015
REGION1,DEMAGRDSL,AGRDSL,2035,24.662
REGION1,DEMAGRDSL,AGRDSL,2036,25.313
REGION1,DEMAGRDSL,AGRDSL,2037,25.966
REGION1,DEMAGRDSL,AGRDSL,2038,26.621
REGION1,DEMAGRDSL,AGRDSL,2039,27.27
REGION1,DEMAGRDSL,AGRDSL,2040,27.924
REGION1,DEMAGRDSL,AGRDSL,2041,28.576
REGION1,DEMAGRDSL,AGRDSL,2042,29.228
REGION1,DEMAGRDSL,AGRDSL,2043,29.88
REGION1,DEMAGRDSL,AGRDSL,2044,30.533
REGION1,DEMAGRDSL,AGRDSL,2045,31.185
REGION1,DEMAGRDSL,AGRDSL,2046,31.837
REGION1,DEMAGRDSL,AGRDSL,2047,32.49
REGION1,DEMAGRDSL,AGRDSL,2048,33.142
REGION1,DEMAGRDSL,AGRDSL,2049,33.794
REGION1,DEMAGRDSL,AGRDSL,2050,34.447
REGION1,DEMAGRSURBC1,AGRWATBC1,2020,0.1598
REGION1,DEMAGRSURBC1,AGRWATBC1,2021,0.188
REGION1,DEMAGRSURBC1,AGRWATBC1,2022,0.1953
REGION1,DEMAGRSURBC1,AGRWATBC1,2023,0.2027
REGION1,DEMAGRSURBC1,AGRWATBC1,2024,0.21
REGION1,DEMAGRSURBC1,AGRWATBC1,2025,0.2172
REGION1,DEMAGRSURBC1,AGRWATBC1,2026,0.2245
REGION1,DEMAGRSURBC1,AGRWATBC1,2027,0.2319
REGION1,DEMAGRSURBC1,AGRWATBC1,2028,0.2392
REGION1,DEMAGRSURBC1,AGRWATBC1,2029,0.2465
REGION1,DEMAGRSURBC1,AGRWATBC1,2030,0.2538
REGION1,DEMAGRSURBC1,AGRWATBC1,2031,0.2611
REGION1,DEMAGRSURBC1,AGRWATBC1,2032,0.2684
REGION1,DEMAGRSURBC1,AGRWATBC1,2033,0.2757
REGION1,DEMAGRSURBC1,AGRWATBC1,2034,0.283
REGION1,DEMAGRSURBC1,AGRWATBC1,2035,0.2904
REGION1,DEMAGRSURBC1,AGRWATBC1,2036,0.2977
REGION1,DEMAGRSURBC1,AGRWATBC1,2037,0.305
REGION1,DEMAGRSURBC1,AGRWATBC1,2038,0.3122
REGION1,DEMAGRSURBC1,AGRWATBC1,2039,0.3196
REGION1,DEMAGRSURBC1,AGRWATBC1,2040,0.3269
REGION1,DEMAGRSURBC1,AGRWATBC1,2041,0.3342
REGION1,DEMAGRSURBC1,AGRWATBC1,2042,0.3416
REGION1,DEMAGRSURBC1,AGRWATBC1,2043,0.3489
REGION1,DEMAGRSURBC1,AGRWATBC1,2044,0.3562
REGION1,DEMAGRSURBC1,AGRWATBC1,2045,0.3634
REGION1,DEMAGRSURBC1,AGRWATBC1,2046,0.3708
REGION1,DEMAGRSURBC1,AGRWATBC1,2047,0.3781
REGION1,DEMAGRSURBC1,AGRWATBC1,2048,0.3854
REGION1,DEMAGRSURBC1,AGRWATBC1,2049,0.3927
REGION1,DEMAGRSURBC1,AGRWATBC1,2050,0.4001
REGION1,DEMCOMBIO,COMBIO,2020,0.12
REGION1,DEMCOMBIO,COMBIO,2021,0.17
REGION1,DEMCOMBIO,COMBIO,2022,0.22
REGION1,DEMCOMBIO,COMBIO,2023,0.26
REGION1,DEMCOMBIO,COMBIO,2024,0.31
REGION1,DEMCOMBIO,COMBIO,2025,0.35
REGION1,DEMCOMBIO,COMBIO,2026,0.4
REGION1,DEMCOMBIO,COMBIO,2027,0.45
REGION1,DEMCOMBIO,COMBIO,2028,0.49
REGION1,DEMCOMBIO,COMBIO,2029,0.54
REGION1,DEMCOMBIO,COMBIO,2030,0.58
REGION1,DEMCOMBIO,COMBIO,2031,0.63
REGION1,DEMCOMBIO,COMBIO,2032,0.67
REGION1,DEMCOMBIO,COMBIO,2033,0.71
REGION1,DEMCOMBIO,COMBIO,2034,0.75
REGION1,DEMCOMBIO,COMBIO,2035,0.79
REGION1,DEMCOMBIO,COMBIO,2036,0.83
REGION1,DEMCOMBIO,COMBIO,2037,0.86
REGION1,DEMCOMBIO,COMBIO,2038,0.9
REGION1,DEMCOMBIO,COMBIO,2039,0.93
REGION1,DEMCOMBIO,COMBIO,2040,0.97
REGION1,DEMCOMBIO,COMBIO,2041,0.915
REGION1,DEMCOMBIO,COMBIO,2042,0.947
REGION1,DEMCOMBIO,COMBIO,2043,0.978
REGION1,DEMCOMBIO,COMBIO,2044,1.009
REGION1,DEMCOMBIO,COMBIO,2045,1.041
REGION1,DEMCOMBIO,COMBIO,2046,1.072
REGION1,DEMCOMBIO,COMBIO,2047,1.104
REGION1,DEMCOMBIO,COMBIO,2048,1.135
REGION1,DEMCOMBIO,COMBIO,2049,1.167
REGION1,DEMCOMBIO,COMBIO,2050,1.198
REGION1,DEMCOMELCB02,COMELCB02,2020,57.0
REGION1,DEMCOMELCB02,COMELCB02,2021,58.29
REGION1,DEMCOMELCB02,COMELCB02,2022,59.36
REGION1,DEMCOMELCB02,COMELCB02,2023,60.24
REGION1,DEMCOMELCB02,COMELCB02,2024,60.96
REGION1,DEMCOMELCB02,COMELCB02,2025,61.69
REGION1,DEMCOMELCB02,COMELCB02,2026,62.53
REGION1,DEMCOMELCB02,COMELCB02,2027,63.4
REGION1,DEMCOMELCB02,COMELCB02,2028,64.11
REGION1,DEMCOMELCB02,COMELCB02,2029,64.88
REGION1,DEMCOMELCB02,COMELCB02,2030,65.62
REGION1,DEMCOMELCB02,COMELCB02,2031,66.18
REGION1,DEMCOMELCB02,COMELCB02,2032,66.73
REGION1,DEMCOMELCB02,COMELCB02,2033,67.41
